steps: 1000     train: 4.130bpc val: 2.913bpc   ms/batch: 248.3 span_avg: 39    span_max: 73
steps: 2000     train: 2.708bpc val: 2.356bpc   ms/batch: 273.8 span_avg: 47    span_max: 146
steps: 3000     train: 2.321bpc val: 2.109bpc   ms/batch: 275.5 span_avg: 56    span_max: 228
steps: 4000     train: 2.133bpc val: 1.987bpc   ms/batch: 275.0 span_avg: 66    span_max: 315
steps: 5000     train: 1.976bpc val: 1.800bpc   ms/batch: 281.4 span_avg: 77    span_max: 432
steps: 6000     train: 1.816bpc val: 1.665bpc   ms/batch: 295.0 span_avg: 88    span_max: 572
steps: 7000     train: 1.708bpc val: 1.592bpc   ms/batch: 309.1 span_avg: 98    span_max: 718
steps: 8000     train: 1.645bpc val: 1.543bpc   ms/batch: 318.7 span_avg: 107   span_max: 861
steps: 9000     train: 1.594bpc val: 1.488bpc   ms/batch: 330.6 span_avg: 116   span_max: 1054
steps: 10000    train: 1.540bpc val: 1.463bpc   ms/batch: 345.1 span_avg: 126   span_max: 1296
steps: 11000    train: 1.511bpc val: 1.438bpc   ms/batch: 361.2 span_avg: 138   span_max: 1687
steps: 12000    train: 1.486bpc val: 1.408bpc   ms/batch: 381.1 span_avg: 147   span_max: 2076
steps: 13000    train: 1.447bpc val: 1.391bpc   ms/batch: 398.7 span_avg: 156   span_max: 2438
steps: 14000    train: 1.435bpc val: 1.374bpc   ms/batch: 598.5 span_avg: 165   span_max: 2762
steps: 15000    train: 1.402bpc val: 1.364bpc   ms/batch: 608.4 span_avg: 173   span_max: 3095
steps: 16000    train: 1.395bpc val: 1.342bpc   ms/batch: 616.6 span_avg: 182   span_max: 3387
steps: 17000    train: 1.384bpc val: 1.332bpc   ms/batch: 638.1 span_avg: 189   span_max: 3664
steps: 18000    train: 1.357bpc val: 1.325bpc   ms/batch: 640.7 span_avg: 196   span_max: 3927
steps: 19000    train: 1.357bpc val: 1.295bpc   ms/batch: 644.9 span_avg: 203   span_max: 4220
steps: 20000    train: 1.336bpc val: 1.302bpc   ms/batch: 674.8 span_avg: 210   span_max: 4461
steps: 21000    train: 1.332bpc val: 1.282bpc   ms/batch: 676.6 span_avg: 217   span_max: 4659
steps: 22000    train: 1.324bpc val: 1.272bpc   ms/batch: 687.1 span_avg: 222   span_max: 4886
steps: 23000    train: 1.304bpc val: 1.266bpc   ms/batch: 706.6 span_avg: 230   span_max: 5124
steps: 24000    train: 1.306bpc val: 1.260bpc   ms/batch: 711.7 span_avg: 236   span_max: 5293
steps: 25000    train: 1.301bpc val: 1.245bpc   ms/batch: 726.9 span_avg: 242   span_max: 5487
steps: 26000    train: 1.281bpc val: 1.249bpc   ms/batch: 730.9 span_avg: 249   span_max: 5685
steps: 27000    train: 1.280bpc val: 1.240bpc   ms/batch: 732.5 span_avg: 255   span_max: 5882
steps: 28000    train: 1.282bpc val: 1.239bpc   ms/batch: 750.3 span_avg: 261   span_max: 6100
steps: 29000    train: 1.263bpc val: 1.219bpc   ms/batch: 756.4 span_avg: 265   span_max: 6308
steps: 30000    train: 1.268bpc val: 1.236bpc   ms/batch: 768.7 span_avg: 271   span_max: 6490
steps: 31000    train: 1.255bpc val: 1.221bpc   ms/batch: 768.1 span_avg: 278   span_max: 6646
steps: 32000    train: 1.255bpc val: 1.211bpc   ms/batch: 778.7 span_avg: 282   span_max: 6815
steps: 33000    train: 1.253bpc val: 1.219bpc   ms/batch: 803.5 span_avg: 288   span_max: 6964
steps: 34000    train: 1.234bpc val: 1.201bpc   ms/batch: 785.9 span_avg: 295   span_max: 7101
steps: 35000    train: 1.239bpc val: 1.195bpc   ms/batch: 806.3 span_avg: 298   span_max: 7211
steps: 36000    train: 1.237bpc val: 1.196bpc   ms/batch: 790.8 span_avg: 305   span_max: 7415
steps: 34000    train: 1.234bpc val: 1.201bpc   ms/batch: 785.9 span_avg: 295   span_max: 7101
steps: 35000    train: 1.239bpc val: 1.195bpc   ms/batch: 806.3 span_avg: 298   span_max: 7211
steps: 36000    train: 1.237bpc val: 1.196bpc   ms/batch: 790.8 span_avg: 305   span_max: 7415
steps: 37000    train: 1.217bpc val: 1.192bpc   ms/batch: 825.6 span_avg: 311   span_max: 7534
steps: 38000    train: 1.218bpc val: 1.184bpc   ms/batch: 802.8 span_avg: 314   span_max: 7643
steps: 39000    train: 1.222bpc val: 1.186bpc   ms/batch: 835.0 span_avg: 316   span_max: 7783
steps: 40000    train: 1.213bpc val: 1.183bpc   ms/batch: 698.2 span_avg: 284   span_max: 7126
steps: 41000    train: 1.213bpc val: 1.177bpc   ms/batch: 706.7 span_avg: 288   span_max: 7269
steps: 42000    train: 1.212bpc val: 1.178bpc   ms/batch: 712.9 span_avg: 291   span_max: 7409
steps: 43000    train: 1.197bpc val: 1.171bpc   ms/batch: 714.2 span_avg: 295   span_max: 7637
steps: 44000    train: 1.202bpc val: 1.182bpc   ms/batch: 839.9 span_avg: 296   span_max: 7737
steps: 45000    train: 1.189bpc val: 1.172bpc   ms/batch: 831.4 span_avg: 300   span_max: 7870
steps: 46000    train: 1.195bpc val: 1.162bpc   ms/batch: 830.7 span_avg: 304   span_max: 7983
steps: 47000    train: 1.196bpc val: 1.162bpc   ms/batch: 833.1 span_avg: 307   span_max: 8079
steps: 48000    train: 1.179bpc val: 1.167bpc   ms/batch: 832.0 span_avg: 310   span_max: 8183
steps: 49000    train: 1.189bpc val: 1.149bpc   ms/batch: 829.4 span_avg: 311   span_max: 8192
steps: 50000    train: 1.176bpc val: 1.156bpc   ms/batch: 829.9 span_avg: 313   span_max: 8192
steps: 51000    train: 1.180bpc val: 1.156bpc   ms/batch: 829.9 span_avg: 315   span_max: 8192
steps: 52000    train: 1.179bpc val: 1.145bpc   ms/batch: 831.9 span_avg: 316   span_max: 8190
steps: 53000    train: 1.164bpc val: 1.153bpc   ms/batch: 834.0 span_avg: 318   span_max: 8192
steps: 54000    train: 1.176bpc val: 1.151bpc   ms/batch: 851.7 span_avg: 321   span_max: 8192
steps: 55000    train: 1.173bpc val: 1.141bpc   ms/batch: 832.6 span_avg: 320   span_max: 8192
steps: 56000    train: 1.158bpc val: 1.142bpc   ms/batch: 835.0 span_avg: 323   span_max: 8192
steps: 57000    train: 1.163bpc val: 1.149bpc   ms/batch: 836.3 span_avg: 325   span_max: 8192
steps: 56000    train: 1.158bpc val: 1.142bpc   ms/batch: 835.0 span_avg: 323   span_max: 8192
steps: 57000    train: 1.163bpc val: 1.149bpc   ms/batch: 836.3 span_avg: 325   span_max: 8192
steps: 58000    train: 1.168bpc val: 1.136bpc   ms/batch: 834.8 span_avg: 326   span_max: 8192
steps: 59000    train: 1.152bpc val: 1.131bpc   ms/batch: 836.7 span_avg: 327   span_max: 8192
steps: 60000    train: 1.162bpc val: 1.144bpc   ms/batch: 836.9 span_avg: 328   span_max: 8192
steps: 61000    train: 1.151bpc val: 1.137bpc   ms/batch: 840.6 span_avg: 329   span_max: 8192
steps: 62000    train: 1.155bpc val: 1.130bpc   ms/batch: 839.0 span_avg: 331   span_max: 8192
steps: 63000    train: 1.155bpc val: 1.138bpc   ms/batch: 836.9 span_avg: 331   span_max: 8192
steps: 64000    train: 1.141bpc val: 1.136bpc   ms/batch: 837.0 span_avg: 332   span_max: 8192
steps: 65000    train: 1.151bpc val: 1.134bpc   ms/batch: 841.1 span_avg: 333   span_max: 8192
steps: 66000    train: 1.151bpc val: 1.132bpc   ms/batch: 842.6 span_avg: 334   span_max: 8192
steps: 67000    train: 1.136bpc val: 1.126bpc   ms/batch: 839.6 span_avg: 335   span_max: 8192
steps: 68000    train: 1.141bpc val: 1.124bpc   ms/batch: 840.2 span_avg: 337   span_max: 8192
steps: 69000    train: 1.148bpc val: 1.130bpc   ms/batch: 841.6 span_avg: 337   span_max: 8192
steps: 70000    train: 1.132bpc val: 1.127bpc   ms/batch: 843.5 span_avg: 338   span_max: 8192
steps: 71000    train: 1.143bpc val: 1.119bpc   ms/batch: 843.2 span_avg: 340   span_max: 8192
steps: 72000    train: 1.131bpc val: 1.121bpc   ms/batch: 845.0 span_avg: 340   span_max: 8192
steps: 73000    train: 1.136bpc val: 1.124bpc   ms/batch: 856.0 span_avg: 342   span_max: 8192
steps: 74000    train: 1.137bpc val: 1.112bpc   ms/batch: 860.0 span_avg: 342   span_max: 8192
steps: 75000    train: 1.124bpc val: 1.117bpc   ms/batch: 848.6 span_avg: 343   span_max: 8192
steps: 76000    train: 1.134bpc val: 1.124bpc   ms/batch: 876.8 span_avg: 344   span_max: 8192
steps: 77000    train: 1.135bpc val: 1.110bpc   ms/batch: 854.2 span_avg: 345   span_max: 8192
steps: 78000    train: 1.119bpc val: 1.116bpc   ms/batch: 859.2 span_avg: 345   span_max: 8192
steps: 79000    train: 1.124bpc val: 1.116bpc   ms/batch: 873.6 span_avg: 347   span_max: 8192
steps: 80000    train: 1.132bpc val: 1.105bpc   ms/batch: 859.8 span_avg: 348   span_max: 8192
steps: 81000    train: 1.116bpc val: 1.112bpc   ms/batch: 882.5 span_avg: 349   span_max: 8192
steps: 82000    train: 1.128bpc val: 1.120bpc   ms/batch: 856.6 span_avg: 349   span_max: 8192
steps: 83000    train: 1.115bpc val: 1.108bpc   ms/batch: 873.2 span_avg: 350   span_max: 8192
steps: 84000    train: 1.121bpc val: 1.109bpc   ms/batch: 881.3 span_avg: 351   span_max: 8192
steps: 85000    train: 1.124bpc val: 1.115bpc   ms/batch: 872.2 span_avg: 351   span_max: 8192
steps: 86000    train: 1.109bpc val: 1.105bpc   ms/batch: 875.2 span_avg: 352   span_max: 8192
steps: 87000    train: 1.121bpc val: 1.102bpc   ms/batch: 875.6 span_avg: 353   span_max: 8192
steps: 88000    train: 1.123bpc val: 1.117bpc   ms/batch: 884.9 span_avg: 353   span_max: 8192
steps: 89000    train: 1.105bpc val: 1.106bpc   ms/batch: 889.3 span_avg: 354   span_max: 8192
steps: 88000    train: 1.123bpc val: 1.117bpc   ms/batch: 884.9 span_avg: 353   span_max: 8192
steps: 89000    train: 1.105bpc val: 1.106bpc   ms/batch: 889.3 span_avg: 354   span_max: 8192
steps: 90000    train: 1.111bpc val: 1.097bpc   ms/batch: 889.5 span_avg: 354   span_max: 8192
steps: 90000    train: 1.111bpc val: 1.097bpc   ms/batch: 889.5 span_avg: 354   span_max: 8192
steps: 91000    train: 1.119bpc val: 1.109bpc   ms/batch: 883.6 span_avg: 356   span_max: 8192
steps: 92000    train: 1.104bpc val: 1.102bpc   ms/batch: 885.6 span_avg: 357   span_max: 8192
steps: 93000    train: 1.115bpc val: 1.096bpc   ms/batch: 892.4 span_avg: 358   span_max: 8192
steps: 94000    train: 1.103bpc val: 1.106bpc   ms/batch: 897.3 span_avg: 358   span_max: 8191
steps: 95000    train: 1.109bpc val: 1.103bpc   ms/batch: 897.0 span_avg: 360   span_max: 8192
steps: 96000    train: 1.112bpc val: 1.093bpc   ms/batch: 900.7 span_avg: 361   span_max: 8192
steps: 97000    train: 1.097bpc val: 1.106bpc   ms/batch: 901.4 span_avg: 361   span_max: 8192
steps: 98000    train: 1.109bpc val: 1.104bpc   ms/batch: 902.3 span_avg: 361   span_max: 8192
steps: 99000    train: 1.112bpc val: 1.093bpc   ms/batch: 898.6 span_avg: 362   span_max: 8192
