steps: 1000     train: 4.080bpc val: 2.891bpc   ms/batch: 274.1 span_avg: 35    span_max: 55
steps: 2000     train: 2.691bpc val: 2.347bpc   ms/batch: 275.7 span_avg: 36    span_max: 93
steps: 3000     train: 2.316bpc val: 2.119bpc   ms/batch: 280.4 span_avg: 39    span_max: 138
steps: 4000     train: 2.137bpc val: 1.992bpc   ms/batch: 282.8 span_avg: 42    span_max: 203
steps: 5000     train: 1.987bpc val: 1.813bpc   ms/batch: 286.0 span_avg: 45    span_max: 330
steps: 6000     train: 1.839bpc val: 1.669bpc   ms/batch: 293.4 span_avg: 48    span_max: 460
steps: 7000     train: 1.738bpc val: 1.611bpc   ms/batch: 300.2 span_avg: 51    span_max: 556
steps: 8000     train: 1.675bpc val: 1.553bpc   ms/batch: 308.0 span_avg: 55    span_max: 646
steps: 9000     train: 1.621bpc val: 1.512bpc   ms/batch: 319.4 span_avg: 60    span_max: 747
steps: 10000    train: 1.566bpc val: 1.486bpc   ms/batch: 327.4 span_avg: 64    span_max: 850
steps: 11000    train: 1.539bpc val: 1.462bpc   ms/batch: 338.8 span_avg: 68    span_max: 943
steps: 12000    train: 1.516bpc val: 1.437bpc   ms/batch: 346.0 span_avg: 71    span_max: 1040
steps: 13000    train: 1.478bpc val: 1.409bpc   ms/batch: 356.4 span_avg: 75    span_max: 1129
steps: 14000    train: 1.460bpc val: 1.409bpc   ms/batch: 360.5 span_avg: 78    span_max: 1209
steps: 15000    train: 1.451bpc val: 1.379bpc   ms/batch: 368.1 span_avg: 81    span_max: 1299
steps: 16000    train: 1.420bpc val: 1.358bpc   ms/batch: 376.8 span_avg: 85    span_max: 1379
steps: 17000    train: 1.416bpc val: 1.362bpc   ms/batch: 381.9 span_avg: 88    span_max: 1468
steps: 18000    train: 1.395bpc val: 1.348bpc   ms/batch: 387.2 span_avg: 90    span_max: 1547
steps: 19000    train: 1.388bpc val: 1.321bpc   ms/batch: 391.7 span_avg: 92    span_max: 1627
steps: 20000    train: 1.380bpc val: 1.322bpc   ms/batch: 394.5 span_avg: 94    span_max: 1711
steps: 21000    train: 1.366bpc val: 1.322bpc   ms/batch: 365.8 span_avg: 98    span_max: 1787
steps: 22000    train: 1.353bpc val: 1.314bpc   ms/batch: 370.9 span_avg: 100   span_max: 1857
steps: 23000    train: 1.345bpc val: 1.290bpc   ms/batch: 399.1 span_avg: 102   span_max: 1939
steps: 24000    train: 1.346bpc val: 1.291bpc   ms/batch: 400.8 span_avg: 104   span_max: 2003
steps: 25000    train: 1.326bpc val: 1.281bpc   ms/batch: 393.2 span_avg: 106   span_max: 2077
steps: 26000    train: 1.329bpc val: 1.272bpc   ms/batch: 393.1 span_avg: 108   span_max: 2150
steps: 27000    train: 1.316bpc val: 1.276bpc   ms/batch: 393.4 span_avg: 111   span_max: 2224
steps: 28000    train: 1.315bpc val: 1.267bpc   ms/batch: 396.1 span_avg: 113   span_max: 2285
steps: 29000    train: 1.310bpc val: 1.254bpc   ms/batch: 401.6 span_avg: 115   span_max: 2364
steps: 30000    train: 1.295bpc val: 1.256bpc   ms/batch: 416.8 span_avg: 117   span_max: 2433
steps: 31000    train: 1.300bpc val: 1.259bpc   ms/batch: 432.2 span_avg: 120   span_max: 2499
steps: 32000    train: 1.298bpc val: 1.245bpc   ms/batch: 419.6 span_avg: 121   span_max: 2574
steps: 33000    train: 1.280bpc val: 1.236bpc   ms/batch: 417.2 span_avg: 123   span_max: 2627
steps: 34000    train: 1.278bpc val: 1.243bpc   ms/batch: 416.7 span_avg: 125   span_max: 2686
steps: 35000    train: 1.281bpc val: 1.229bpc   ms/batch: 422.7 span_avg: 128   span_max: 2753
steps: 36000    train: 1.261bpc val: 1.221bpc   ms/batch: 455.8 span_avg: 130   span_max: 2812
steps: 37000    train: 1.266bpc val: 1.228bpc   ms/batch: 444.5 span_avg: 131   span_max: 2880
steps: 38000    train: 1.254bpc val: 1.215bpc   ms/batch: 440.2 span_avg: 133   span_max: 2925
steps: 39000    train: 1.253bpc val: 1.220bpc   ms/batch: 487.9 span_avg: 135   span_max: 2980
steps: 40000    train: 1.242bpc val: 1.207bpc   ms/batch: 495.3 span_avg: 137   span_max: 3026
steps: 41000    train: 1.244bpc val: 1.197bpc   ms/batch: 516.0 span_avg: 138   span_max: 3062
steps: 42000    train: 1.245bpc val: 1.202bpc   ms/batch: 507.0 span_avg: 139   span_max: 3109
steps: 43000    train: 1.229bpc val: 1.199bpc   ms/batch: 538.5 span_avg: 141   span_max: 3166
steps: 44000    train: 1.235bpc val: 1.189bpc   ms/batch: 516.5 span_avg: 142   span_max: 3202
steps: 45000    train: 1.223bpc val: 1.193bpc   ms/batch: 516.0 span_avg: 143   span_max: 3249
steps: 46000    train: 1.227bpc val: 1.185bpc   ms/batch: 545.1 span_avg: 146   span_max: 3287
steps: 47000    train: 1.224bpc val: 1.182bpc   ms/batch: 525.6 span_avg: 148   span_max: 3328
steps: 48000    train: 1.210bpc val: 1.181bpc   ms/batch: 546.9 span_avg: 149   span_max: 3373
steps: 49000    train: 1.219bpc val: 1.180bpc   ms/batch: 546.6 span_avg: 150   span_max: 3420
steps: 50000    train: 1.216bpc val: 1.172bpc   ms/batch: 528.4 span_avg: 152   span_max: 3458
steps: 51000    train: 1.203bpc val: 1.170bpc   ms/batch: 537.8 span_avg: 153   span_max: 3487
steps: 52000    train: 1.205bpc val: 1.175bpc   ms/batch: 557.2 span_avg: 154   span_max: 3529
steps: 53000    train: 1.210bpc val: 1.165bpc   ms/batch: 540.2 span_avg: 156   span_max: 3572
steps: 54000    train: 1.194bpc val: 1.161bpc   ms/batch: 563.2 span_avg: 157   span_max: 3601
steps: 55000    train: 1.202bpc val: 1.169bpc   ms/batch: 556.1 span_avg: 158   span_max: 3631
steps: 56000    train: 1.192bpc val: 1.162bpc   ms/batch: 546.5 span_avg: 159   span_max: 3659
steps: 57000    train: 1.196bpc val: 1.156bpc   ms/batch: 574.9 span_avg: 160   span_max: 3685
